nodeType,longName,shortName
STAI,Staircase Intersection 10 Level 2,Stair B1002
STAI,Staircase H1 Floor 1,Stair H1
STAI,Staircase H2 Floor 1,Stair H2
STAI,Staircase J1 Floor 1,Stair J1
STAI,Staircase K1 Floor 1,Stair K1
STAI,Staircase1 Floor2,Staircase1
STAI,Staircase2 Floor2,Staircase2
STAI,Staircase3 Floor2,Staircase3
STAI,Staircase4 Floor2,Staircase4
STAI,Staircase5 Floor2,Staircase5
STAI,Staircase6 Floor2,Staircase6
STAI,Staircase7 Floor2,Staircase7
STAI,Staircase8 Floor2,Staircase8
STAI,Stairs Floor 2,Stairs Floor 2
STAI,Lobby Shattuck Street Stairs,Stairway F00101
STAI,Stairwell 1 Floor 3,Stairwell
STAI,Stairwell 1 Floor 2,Stairwell 0102
STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
SERV,The Porch Node 16 Floor 3,The Porch
DEPT,Thoracic Surgery Clinic Floor 2,Thoracic Surgery Clinic
SERV,Tower Medical Cashier,Tower Cashier
HALL,Tower Lobby Entrance 1,Tower Entrance
HALL,Tower Hallway Entrance,Tower Entrance 2
STAI,Tower Stairway 1,Tower Stairs 1
SERV,75 Lobby Valet Cashier,Valet Cashier
RETL,Vending Machine Floor 2?,Vending Machine
RETL,Lobby Vending Machine,VM Lobby
DEPT,Waiting Room 1 Floor 1,Wait 1
DEPT,Waiting room? Node 7 Floor 2,Waiting Area Shapiro Floor 2
DEPT,Waiting Room Floor 2,Waiting Room
DEPT,Watkins A Node 24 Floor 2 Floor 2,Watkins A
DEPT,Watkins B Node 35 Floor 2,Watkins B
DEPT,Watkins Clinic C Node 14 Floor 3,Watkins Clinic C
DEPT,Wound and Ambulatory 1,WCCAT 1
LABS,Ambulatory X-Ray Floor 1,X-Ray 1
DEPT,Zinner Breakout Room MapNode 19 Floor 1,Zinner Breakout Room
