longname, locationtype, shortname
Hallway Connector 6 Floor 2,HALL,Hallway H00602
Hallway Connector 6 Floor 3,HALL,Hallway H00603
Hallway Connector 7 Floor 2,HALL,Hallway H00702
Hallway Connector 7 Floor 3,HALL,Hallway H00703
Hallway Connector 8 Floor 2,HALL,Hallway H00802
Hallway Connector 8 Floor 3,HALL,Hallway H00803
Hallway Connector 9 Floor 2,HALL,Hallway H00902
Hallway Connector 9 Floor 3,HALL,Hallway H00903
Hallway Connector 10 Floor 2,HALL,Hallway H01002
Hallway Connector 10 Floor 3,HALL,Hallway H01003
Hallway Connector 11 Floor 3,HALL,Hallway H01103
Hallway Connector 12 Floor 3,HALL,Hallway H01203
Hallway Connector 13 Floor 3,HALL,Hallway H01303
Hallway Connector 14 Floor 3,HALL,Hallway H01403
Hallway Connector 15 Floor 3,HALL,Hallway H01503
Hallway Connector 1 Floor 1,HALL,Hallway W0101
Hallway Connector 1 Floor L2,HALL,Hallway W01L2
Hallway Connector 2 Floor 1,HALL,Hallway W0201
Hallway Connector 2 Floor L2,HALL,Hallway W02L2
Lobby Entrance Hallway,HALL,HallwayF02801
Restroom Node 31 Floor 2,REST,Handicap Accessible Restrooms Shapiro Floor 2
Information Desk Level 2,INFO,INFO B0102
Valet Service Level 2,INFO,INFO B0202
Info Node 19 Floor 2,INFO,Information Center Shapiro Floor 2
15 Francis Security Desk Floor 2,INFO,Information Desk
Innovation Hub,LABS,Innovation Hub
International Patient Center,DEPT,IPC
Kessler Library,SERV,Kessler Library
Stairs MapNode 8 Floor L1,STAI,L1 Stairs
Outpatient Fluoroscopy Floor L1,LABS,Lab C001L1
Radiation Oncology TX Suite Floor L2,LABS,Lab C001L2
Pre-Op PACU Floor L1,LABS,Lab C002L1
Radiation Oncology Floor L2,LABS,Lab C002L2
Nuclear Medicine Floor L1,LABS,Lab C003L1
Ultrasound Floor L1,LABS,Lab C004L1
CSIR MRI Floor L1,LABS,Lab C005L1
Vascular Diagnostic Lab,LABS,Labs B0102
Outpatient Specimen Collection,LABS,Labs B0202
Shattuck Street Lobby ATM,SERV,Lobby ATM
Lobby Escalator,STAI,Lobby Escalator
75 Lobby Information Desk,INFO,Lobby Info Desk
MICU 3BC Waiting Room,DEPT,MICU 3BC WR
MRI Associates Floor 2,LABS,MRI Associates
MRI CT Scan Imaging,LABS,MRI CT Imaging
MS Waiting,DEPT,MS Waiting
Neuroscience Waiting Room,DEPT,Neuro Waiting Room
Stairway MapNode 5 Floor 1,STAI,Northbound Stairs Floor 2
Nursing Room,SERV,Nursing Room
Obstetrics Admitting,LABS,Obs Admitting
Ocupational Health Floor 1,DEPT,Ocupational 1
Orthopedics and Rhemutalogy,DEPT,Orthopedics and Rhemutalogy
Parking Garage L2,EXIT,Parking Garage L2
Pats Place Floor 2,RETL,Pats Place
Restroom 1 - Family,REST,R1
Restroom 2,REST,R2
Restroom 3,REST,R3
Restroom 4 - M wheelchair,REST,R4
Restroom 5 - F wheelchair,REST,R5
Rehabilitation Services Floor 1,DEPT,Rehab 1
Reproductive Endocrine Labs,LABS,Reproductive Endocrine Labs
Restroom 1 Level 2,REST,REST B0102
Restroom 2 Level 2,REST,REST B0202
Restroom 3 Level 2,REST,REST B0302
Restroom 4 Level 2,REST,REST B0402
Restroom 5 Level 2,REST,REST B0502
Restroom S elevator 1st floor,REST,Restroom
Restroom BTM conference center 3rd floor,REST,Restroom
Restroom Node 6 Floor 2,REST,Restroom 1 Shapiro Floor 2
Restroom B elevator Floor 2,REST,Restroom B
Restroom C elevator Floor 2,REST,Restroom C
Restroom L Elevator Floor L1,REST,Restroom C001L1
Restroom K Elevator Floor L2,REST,Restroom C001L2
Restroom M Elevator Floor L1,REST,Restroom C002L1
Restroom L Elevator Floor L2,REST,Restroom C002L2
Restroom K Elevator Floor L1,REST,Restroom C003L1
Restroom H Elevator Floor L1,REST,Restroom C004L1
Restroom C-D elevator Floor 2,REST,Restroom C-D
Restroom D elevator Floor 2,REST,Restroom D
Restroom F1 Floor 1,REST,Restroom F1
Restroom G1 Floor 1,REST,Restroom G1
Restroom H1 Floor 1,REST,Restroom H1
Bathroom MapNode 12 Floor 1,REST,Restroom Shapiro Floor 1
Restroom Node 12 Floor 3,REST,Restroom Shapiro Floor 3
Restroom MapNode 4 Floor L2,REST,Restroom Shapiro L2
Vending Machine 1 L1,RETL,Retail C001L1
Spiritual Care Office,DEPT,SCO
Random Room MapNode 35 Floor 1,REST,Secret Room Floor 1
BTM Security Desk,INFO,Security
Connors Center Security Desk Floor 1,INFO,Security 1
Security Desk Thorn Floor 2,INFO,Security Desk
Patient Financial Services,SERV,SERV B0102
Volunteers Floor L1,SERV,Service C001L1
Interpreter Services Floor L2,SERV,Service C001L2
Shapiro Board Room MapNode 20 Floor 1,CONF,Shapiro Board Room
Sharf Admitting Center,DEPT,Sharf Center
Shattuck Street Lobby Exit,EXIT,Shattuck St. Exit
Staircase MapNode 13 Floor 1,STAI,Southbound Stairs Floor 1
Staircase Intersection 1 Level 2,STAI,Stair B0102
Staircase Intersection 2 Level 2,STAI,Stair B0202
Staircase Intersection 3 Level 2,STAI,Stair B0302
Staircase Intersection 5 Level 2,STAI,Stair B0502
Staircase Intersection 6 Level 2,STAI,Stair B0602
Staircase Intersection 7 Level 2,STAI,Stair B0702
Staircase Intersection 8 Level 2,STAI,Stair B0802
Staircase Intersection 9 Level 2,STAI,Stair B0902
